date,mode,system,trips
2023-08-31,bus_rkl,bus,195968
2023-09-01,bus_rkl,bus,181010
2023-09-02,bus_rkl,bus,145088
2023-09-03,bus_rkl,bus,137382
2023-09-04,bus_rkl,bus,198463
2023-09-05,bus_rkl,bus,207170
2023-09-06,bus_rkl,bus,206791
2023-09-07,bus_rkl,bus,206995
2023-09-08,bus_rkl,bus,203138
2023-09-09,bus_rkl,bus,147384
2023-09-10,bus_rkl,bus,142452
2023-09-11,bus_rkl,bus,205586
2023-09-12,bus_rkl,bus,213383
2023-09-13,bus_rkl,bus,213494
2023-09-14,bus_rkl,bus,208610
2023-09-15,bus_rkl,bus,206781
2023-09-16,bus_rkl,bus,142726
2023-09-17,bus_rkl,bus,131004
2023-09-18,bus_rkl,bus,207880
2023-09-19,bus_rkl,bus,213262
2023-09-20,bus_rkl,bus,213358
2023-09-21,bus_rkl,bus,211389
2023-09-22,bus_rkl,bus,202131
2023-09-23,bus_rkl,bus,143275
2023-09-24,bus_rkl,bus,134492
2023-09-25,bus_rkl,bus,205073
2023-09-26,bus_rkl,bus,212377
2023-09-27,bus_rkl,bus,215279
2023-09-28,bus_rkl,bus,129230
2023-09-29,bus_rkl,bus,189782
2023-09-30,bus_rkl,bus,136982
2023-10-01,bus_rkl,bus,132583
2023-10-02,bus_rkl,bus,197170
2023-10-03,bus_rkl,bus,214822
2023-10-04,bus_rkl,bus,215891
2023-10-05,bus_rkl,bus,216309
2023-10-06,bus_rkl,bus,210951
2023-10-07,bus_rkl,bus,152410
2023-10-08,bus_rkl,bus,150520
2023-10-09,bus_rkl,bus,215260
2023-10-10,bus_rkl,bus,214916
2023-10-11,bus_rkl,bus,218530
2023-10-12,bus_rkl,bus,218735
2023-10-13,bus_rkl,bus,217182
2023-10-14,bus_rkl,bus,152043
2023-10-15,bus_rkl,bus,142189
2023-10-16,bus_rkl,bus,216158
2023-10-17,bus_rkl,bus,218465
2023-10-18,bus_rkl,bus,223044
2023-10-19,bus_rkl,bus,218519
2023-10-20,bus_rkl,bus,214167
2023-10-21,bus_rkl,bus,147371
2023-10-22,bus_rkl,bus,141782
2023-10-23,bus_rkl,bus,214192
2023-10-24,bus_rkl,bus,220406
2023-10-25,bus_rkl,bus,222492
2023-10-26,bus_rkl,bus,220487
2023-10-27,bus_rkl,bus,215045
2023-10-28,bus_rkl,bus,153172
2023-10-29,bus_rkl,bus,137132
2023-10-30,bus_rkl,bus,211987
2023-10-31,bus_rkl,bus,217217
2023-11-01,bus_rkl,bus,222202
2023-11-02,bus_rkl,bus,220954
2023-11-03,bus_rkl,bus,215206
2023-11-04,bus_rkl,bus,155741
2023-11-05,bus_rkl,bus,147625
2023-11-06,bus_rkl,bus,217498
2023-11-07,bus_rkl,bus,221617
2023-11-08,bus_rkl,bus,228618
2023-11-09,bus_rkl,bus,228881
2023-11-10,bus_rkl,bus,219109
2023-11-11,bus_rkl,bus,171046
2023-11-12,bus_rkl,bus,189925
2023-11-13,bus_rkl,bus,132144
2023-11-14,bus_rkl,bus,193438
2023-11-15,bus_rkl,bus,210302
2023-11-16,bus_rkl,bus,213699
2023-11-17,bus_rkl,bus,209492
2023-11-18,bus_rkl,bus,153562
2023-11-19,bus_rkl,bus,144103
2023-11-20,bus_rkl,bus,220081
2023-11-21,bus_rkl,bus,225885
2023-11-22,bus_rkl,bus,222230
2023-11-23,bus_rkl,bus,222371
2023-11-24,bus_rkl,bus,224005
2023-11-25,bus_rkl,bus,152673
2023-11-26,bus_rkl,bus,148978
2023-11-27,bus_rkl,bus,218024
2023-11-28,bus_rkl,bus,220515
